"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76252";"IVATUBA";"76252";"IVATUBA";"154";"13";"Vereador";"2439";"10";"0";"2439";"10";"2124";"315";"N";"1993";"22";"34";"75";"0";"0";"17:54:15";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78476";"SANTA INÊS";"78476";"SANTA INÊS";"95";"11";"Prefeito";"1758";"7";"0";"1758";"7";"1605";"153";"N";"1566";"8";"31";"0";"0";"0";"18:25:42";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78093";"RENASCENÇA";"78093";"RENASCENÇA";"140";"11";"Prefeito";"5172";"19";"0";"5172";"19";"4609";"563";"N";"4331";"104";"174";"0";"0";"0";"18:31:24";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75663";"TAMARANA";"75663";"TAMARANA";"146";"13";"Vereador";"8245";"26";"0";"8245";"26";"7294";"951";"N";"6412";"129";"381";"372";"0";"0";"17:30:48";"23/03/2017"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76376";"JANIÓPOLIS";"76376";"JANIÓPOLIS";"183";"11";"Prefeito";"4960";"22";"2";"4960";"22";"4550";"410";"N";"4034";"221";"295";"0";"0";"0";"18:07:48";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78573";"SANTO ANTÔNIO DO SUDOESTE";"78573";"SANTO ANTÔNIO DO SUDOESTE";"83";"13";"Vereador";"14644";"50";"0";"14644";"50";"12382";"2262";"N";"11197";"292";"188";"705";"0";"0";"17:54:31";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74918";"CARLÓPOLIS";"74918";"CARLÓPOLIS";"56";"11";"Prefeito";"11662";"34";"2";"11662";"34";"9493";"2169";"N";"8865";"145";"483";"0";"0";"0";"17:27:50";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75400";"DIAMANTE D OESTE";"75400";"DIAMANTE D OESTE";"129";"11";"Prefeito";"3849";"13";"0";"3849";"13";"3450";"399";"N";"3282";"37";"131";"0";"0";"0";"17:46:37";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75000";"ITAIPULÂNDIA";"75000";"ITAIPULÂNDIA";"122";"11";"Prefeito";"9021";"26";"0";"9021";"26";"8053";"968";"N";"3976";"76";"4001";"0";"0";"0";"17:33:36";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75639";"FOZ DO IGUAÇU";"75639";"FOZ DO IGUAÇU";"204";"13";"Vereador";"41189";"148";"13";"41189";"148";"37959";"3230";"N";"33031";"1477";"1792";"1659";"0";"0";"12:55:11";"01/11/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"77534";"PAULA FREITAS";"77534";"PAULA FREITAS";"33";"11";"Prefeito";"4563";"17";"0";"4563";"17";"4025";"538";"N";"3878";"42";"105";"0";"0";"0";"18:01:22";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"77879";"PRESIDENTE CASTELO BRANCO";"77879";"PRESIDENTE CASTELO BRANCO";"71";"13";"Vereador";"4162";"12";"0";"4162";"12";"3656";"506";"N";"3334";"67";"57";"198";"0";"0";"17:25:25";"02/10/2016"
