"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"RJ";"Prefeito";"43";"ELDERSON FERREIRA DA SILVA";"SAMUCA SILVA";"PV";"PV";"2";"Eleito";"89055";"0";"4793994";"1,86";"30/10/2016 19:03:32"
"RJ";"Prefeito";"25";"DEODALTO JOSÉ FERREIRA";"DR.DEODALTO";"DEM";"DEM / PSDC / PHS / PMN / PMB / PSB / PSD / PROS / PRP / SD";"2";"Não eleito";"88566";"0";"4793994";"1,85";"30/10/2016 18:37:07"
"RJ";"Prefeito";"15";"BERNARDO CHIM ROSSI";"BERNARDO ROSSI";"PMDB";"PMDB / PSL / PSDC / PV / PMB / PRP / PTC / PHS / PP / PSC / PRTB / DEM / PDT / PTB / PROS / PEN / PSDB";"2";"Eleito";"79296";"0";"4793994";"1,65";"30/10/2016 19:24:54"
"RJ";"Prefeito";"10";"PAULO CÉSAR BALTAZAR DA NÓBREGA";"BALTAZAR";"PRB";"PRB / PDT / PT / PSL";"2";"Não eleito";"74049";"0";"4793994";"1,54";"30/10/2016 19:03:32"
"RJ";"Prefeito";"40";"RUBENS JOSÉ FRANÇA BOMTEMPO";"RUBENS BOMTEMPO";"PSB";"PSB / REDE / PC do B / PR / SD / PSD / PTN / PT do B / PRB";"2";"Não eleito";"71320";"0";"4793994";"1,49";"30/10/2016 19:24:54"
"RO";"Prefeito";"45";"HILDON DE LIMA CHAVES";"DR HILDON";"PSDB";"PSDB / PSDC";"2";"Eleito";"148673";"0";"228207";"65,15";"30/10/2016 20:06:17"
"RO";"Prefeito";"14";"LEONARDO BARRETO DE MORAES";"LÉO MORAES";"PTB";"PTB / PP / PRP / PTN / PROS / PSC / PPS";"2";"Não eleito";"79534";"0";"228207";"34,85";"30/10/2016 20:06:17"
"RS";"Prefeito";"45";"NELSON MARCHEZAN JUNIOR";"NELSON MARCHEZAN JUNIOR";"PSDB";"PP / PSDB / PMB / PTC";"2";"Eleito";"402165";"0";"1211693";"33,19";"30/10/2016 19:07:41"
"RS";"Prefeito";"15";"SEBASTIÃO DE ARAUJO MELO";"SEBASTIÃO MELO";"PMDB";"PMDB / PDT / PHS / PROS / PTN / PRTB / PRB / PSDC / PPS / PSB / PSD / DEM / REDE / PEN";"2";"Não eleito";"262601";"0";"1211693";"21,67";"30/10/2016 19:07:41"
"RS";"Prefeito";"10";"DANIEL ANTONIO GUERRA";"DANIEL GUERRA";"PRB";"PRB / PR / PEN";"2";"Eleito";"148501";"0";"1211693";"12,26";"30/10/2016 19:00:14"
"RS";"Prefeito";"12";"EDSON HUMBERTO NESPOLO";"EDSON NESPOLO";"PDT";"PDT / PMDB / PSB / DEM / PSD / PSDB / PSC / PT do B / PPS / SD / PTC / PRP / PMN / PHS / PPL / PROS / PTN / PV / PP / PTB / PSDC";"2";"Não eleito";"87996";"0";"1211693";"7,26";"30/10/2016 19:00:14"
"RS";"Prefeito";"14";"LUIZ CARLOS GHIORZZI BUSATO";"BUSATO";"PTB";"PMN / PTB / PSDC / PEN / PT do B / REDE / PRTB / PRP / PMDB / PR / PSC";"2";"Eleito";"84387";"0";"1211693";"6,96";"30/10/2016 18:03:30"
"RS";"Prefeito";"10";"LUCIA ELISABETH COLOMBO SILVEIRA";"BETH COLOMBO";"PRB";"PRB / PT / PDT / PP / PSB / PC do B / PROS / PPS / PSD / PV / PTC / PTN / PHS / SD";"2";"Não eleito";"80263";"0";"1211693";"6,62";"30/10/2016 18:03:30"
"RS";"Prefeito";"45";"JORGE CLADISTONE POZZOBOM";"POZZOBOM";"PSDB";"PSDB / PP / PR / DEM / PROS";"2";"Eleito";"73003";"0";"1211693";"6,02";"30/10/2016 18:48:06"
"RS";"Prefeito";"13";"ANTONIO VALDECI OLIVEIRA DE OLIVEIRA";"VALDECI OLIVEIRA";"PT";"PT / PC do B / PHS";"2";"Não eleito";"72777";"0";"1211693";"6,01";"30/10/2016 18:48:06"
"SC";"Prefeito";"15";"UDO DOHLER";"UDO DOHLER";"PMDB";"PMDB / PV / PC do B / PT do B / PSC / PTC / PROS / PTB";"2";"Eleito";"171217";"0";"712260";"24,04";"30/10/2016 18:47:29"
"SC";"Prefeito";"55";"DARCI DE MATOS";"DARCI DE MATOS";"PSD";"PSD / PSDC / PMB / PSB / PR";"2";"Não eleito";"136702";"0";"712260";"19,19";"30/10/2016 18:47:29"
"SC";"Prefeito";"15";"GEAN MARQUES LOUREIRO";"GEAN LOUREIRO";"PMDB";"PMDB / PSDB / DEM / PDT / PRB / PRTB / PSC / PTB / PTN / SD / PR / PRP / PPS / PPL / PTC";"2";"Eleito";"111943";"0";"712260";"15,72";"30/10/2016 18:53:54"
"SC";"Prefeito";"11";"ANGELA REGINA HEINZEN AMIN HELOU";"ANGELA AMIN";"PP";"PP / PSD";"2";"Não eleito";"110790";"0";"712260";"15,55";"30/10/2016 18:53:54"
"SC";"Prefeito";"45";"NAPOLEÃO BERNARDES NETO";"NAPOLEÃO BERNARDES";"PSDB";"PSDB / PSB / PRP / PT do B / PMDB / PV / PP / DEM / PTC / SD / PMB / PTB";"2";"Eleito";"104535";"0";"712260";"14,68";"30/10/2016 18:53:06"
"SC";"Prefeito";"55";"JEAN JACKSON KUHLMANN";"JEAN KUHLMANN";"PSD";"PSD / PRB / PSL / PR / PSC / PROS / PPS";"2";"Não eleito";"77073";"0";"712260";"10,82";"30/10/2016 18:53:06"
"SE";"Prefeito";"65";"EDVALDO NOGUEIRA FILHO";"EDVALDO NOGUEIRA";"PC do B";"PC do B / PT / PSD / PRP / PMDB / PT do B / PTN / PRB";"2";"Eleito";"146271";"0";"280706";"52,11";"30/10/2016 18:38:08"
